FIPS,% Smokers,% Obese,% Physically Inactive,% Excessive Drinking,% Unemployed,% Children in Poverty,% Uninsured,PCP Rate,Average Daily PM2.5,% Bachelor or Higher,Age-Adjusted Mortality
20187,13.994090175,36.3,33.7,15.942964258,3.0563514804,15.6,19.976428992,144.78764,6.9,19.3,
20189,16.587642918,36.2,26.8,14.881024089,4.4020797227,13.4,16.143856144,17.22356,7.3,12.2,382.3
20191,15.593913361,34.7,30.9,15.604884812,4.4296889212,17.2,9.3909688184,33.991929999999996,9.1,22.2,373.4
20193,14.735781439,34.2,28.3,18.130657502,2.9166666667,10.8,8.9619700748,50.60729,7.2,25.5,288.2
20195,13.374934177,32.5,32.1,15.713818329,4.1694242224,14.5,10.428051002,34.16467,7.4,22.8,429.3
20197,14.443287175,32.5,24.1,17.314429651,3.7715517241,11.1,7.6936776492,43.15926,8.8,23.3,349.7
20199,14.164364829,34.3,28.8,15.856213431,2.8935185185,11.9,11.336717428,0.0,6.8,30.9,
20201,13.840845391,31.2,29.4,15.490203905,3.5332252836,13.9,11.759172154,53.59056999999999,8.9,20.3,316.3
20203,15.523779581,33.1,33.5,14.507346954,2.4752475248,17.6,17.944349801,92.72137,7.2,21.1,305.9
20205,19.159950872,35.0,32.1,15.174434188,6.4306358382,23.1,12.714925589,67.75068,9.2,14.4,473.2
20207,18.982490958,36.5,30.0,13.983853333,6.1557788945,23.5,12.609970674,,8.8,13.5,424.8
20209,22.963556921,37.0,31.3,14.79841706,5.728859342,24.4,17.27537294,39.17512,10.8,17.4,450.6
21001,23.260391163,36.8,35.9,14.54385961,6.6340160285,36.7,8.2739726027,26.278450000000003,9.7,16.3,403.5
21003,22.44159831,35.6,34.2,14.790975129,4.1989076013,28.0,7.8165223496,9.689919999999999,10.1,14.6,481.1
21005,19.033368844,35.9,30.1,15.482619929,3.9693158505,15.3,5.6731129801,31.848580000000002,10.1,20.3,430.9
21007,20.300450262,35.8,31.3,14.158948868,8.5907859079,24.3,6.8589841952,,10.1,13.3,499.9
21009,23.322344202,31.8,31.4,13.94172861,4.6015356103,30.4,7.1298755767,84.92082,10.1,16.0,447.9
21011,24.528404022,36.6,31.8,13.005889251,7.231972933,34.4,7.9633822227,8.17795,9.6,12.4,542.9
21013,29.847046851,37.6,39.6,11.71250704,8.971250433,47.4,7.7065579844,40.2385,9.7,8.9,669.6
21015,17.354910258,32.8,23.6,18.150046576,3.7849304824,10.3,5.0960072061,66.556,11.4,31.6,321.2
21017,20.820374091,35.4,32.1,14.491927303,4.7119886017,27.3,9.6017156863,59.65401000000001,10.1,18.9,440.6
21019,22.453963309,39.5,27.6,14.255484735,8.124965502,26.1,6.4454320462,99.32746999999999,10.6,20.2,498.9
21021,20.526828347,32.2,31.8,14.737145171,4.8696224397,23.2,6.1938248032,87.22198,9.8,23.4,442.5
21023,22.645222675,34.5,30.7,15.266345284,6.0182697474,23.8,6.4645884212,24.03557,10.1,13.7,598.5
21025,27.254681632,40.7,31.6,12.018930928,9.3508500773,44.2,8.0443203315,66.74577000000001,9.4,14.3,804.4
21027,22.491224734,33.4,32.6,14.19472497,5.9875681847,26.2,8.2805710739,29.97302,10.3,11.1,487.5
21029,20.022477767,35.7,30.4,16.89620941,4.1252422542,14.4,5.1753667436,16.517999999999997,10.7,14.2,385.7
21031,23.177577979,32.2,35.7,13.05240528,5.3294573643,27.4,8.4453340959,7.72917,10.2,12.6,514.9
21033,21.077786225,37.7,30.6,14.12042818,5.2807115064,33.6,6.0384805131,55.20069,9.9,15.3,494.2
21035,21.056059362,31.6,20.4,15.162328551,4.4870055884,24.9,7.547691457,57.37684,9.8,29.0,400.8
21037,18.898532113,30.7,23.6,18.336454948,3.8097834064,16.7,5.7446418278,61.91211,11.2,33.5,398.8
21039,20.050281948,31.6,33.6,13.127436145,5.9493206023,25.3,8.1319823331,41.034060000000004,10.1,14.8,526.4
21041,23.561561284,34.8,33.3,14.433265636,4.9577021444,32.3,8.3380472904,37.38667,10.4,8.8,661.5
21043,23.364641939,38.5,36.8,14.561581668,10.162924697,31.6,7.1444886026,18.41078,9.4,13.7,492.3
21045,25.152070359,36.7,31.8,12.653462753,4.5966915532,36.6,9.3215530518,6.32591,9.8,13.3,531.9
21047,22.618454768,37.1,30.9,15.547619501,6.0222446916,27.0,7.0083804981,53.19947,10.1,17.3,468.1
21049,20.107113532,33.1,29.7,15.075001656,4.7266041988,24.8,6.4220494892,53.13645,10.1,20.1,509.0
21051,29.253721579,40.1,33.6,12.568475328,9.6184560781,52.4,8.7105197712,38.07167,9.5,9.5,694.2
21053,24.634721692,35.2,34.3,13.09307522,7.3419078242,36.7,9.1664629675,39.3159,9.4,10.1,564.0
21055,21.696388917,32.6,29.2,13.933006912,4.9987748101,29.2,7.4325259516,43.558749999999996,9.9,13.1,497.0
21057,21.84107135,33.6,37.6,12.718802049,5.5172413793,38.1,8.1268768769,59.18035,9.4,13.1,519.2
21059,21.766167148,30.9,25.5,15.850629849,4.4777760672,19.9,5.83348717,56.418060000000004,11.0,22.9,410.3
21061,21.305645919,31.0,26.0,13.312771302,6.1258977609,30.7,8.9044679293,8.32848,10.0,10.8,448.4
